No. Reads;root;organism;Domain;Group;Phylum;Class;;;;;
16;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Metarhizium majus;Metarhizium majus ARSEF 297;;;
16;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Glonium stellatum;;;;
16;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Verruconis gallopava;;;;
16;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
16;root;cellular organisms;Eukaryota;Cryptophyta;Pyrenomonadales;Geminigeraceae;;;;;
16;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;
16;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;;;;;;
16;root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;;;;;
16;root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;;;;;
16;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;;;;;
16;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;;;;;
16;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
16;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
16;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
16;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
16;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
16;root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;;;;;
16;root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;;;;;
15;root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;;;;;
15;root;cellular organisms;Eukaryota;Stramenopiles;;;;;;;
15;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Mucoromycota;;;;;
15;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Microsporidia;;;;;
15;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
15;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
15;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
15;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
15;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
15;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
15;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
15;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
15;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
15;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Conoidasida;;;;;
15;root;cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;;;;;
15;root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;;;;;
15;root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;;;;;
15;root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;;;;;
15;root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;;;;;
15;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;;;;;
15;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;;;;;
15;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;;;;;
15;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
15;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
15;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
15;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
15;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
15;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
15;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
15;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
15;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
15;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
15;root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Nitrosomonadales;;;;;
15;root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;;;;;
15;root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;;;;;
15;root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;;;;;
15;root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;;;;;
15;root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;;;;;
15;root;cellular organisms;Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;;;;;
14;root;cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;Gigartinales;;;;;
14;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Mucoromycota;;;;;
14;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Microsporidia;;;;;
14;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
14;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
14;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
14;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
14;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
14;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
14;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
14;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
14;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
14;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Gaeumannomyces tritici;Gaeumannomyces tritici R3-111a-1;;;
14;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Pochonia chlamydosporia;Pochonia chlamydosporia 170;;;
14;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Botrytis cinerea T4;;;;
14;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
14;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
14;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
14;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
14;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;
14;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;
14;root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;;;;;
14;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Thiotrichales;;;;;
14;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;;;;;
14;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
14;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
14;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
14;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
14;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
14;root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;;;;;
14;root;cellular organisms;Bacteria;PVC group;Candidatus Omnitrophica;unclassified Candidatus Omnitrophica;;;;;
14;root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;;;;;
13;root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Trebouxiophyceae;;;;;
13;root;cellular organisms;Eukaryota;Stramenopiles;Oomycetes;Saprolegniales;;;;;
13;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
13;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
13;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
13;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
13;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
13;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
13;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
13;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Chaetomium globosum;;;;
13;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Valsa mali;;;;
13;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Bipolaris;Bipolaris oryzae;Bipolaris oryzae ATCC 44560;;
13;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Paraphaeosphaeria;Paraphaeosphaeria sporulosa;;;
13;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Lepidopterella palustris;Lepidopterella palustris CBS 459.81;;;
13;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
13;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
13;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Blastocladiomycota;;;;;
13;root;cellular organisms;Eukaryota;Euglenozoa;Kinetoplastida;Trypanosomatidae;;;;;
13;root;cellular organisms;Eukaryota;Euglenozoa;Kinetoplastida;Trypanosomatidae;;;;;
13;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Conoidasida;;;;;
13;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Conoidasida;;;;;
13;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Aconoidasida;;;;;
13;root;cellular organisms;Bacteria;unclassified Bacteria;Bacteria candidate phyla;Patescibacteria group;;;;;
13;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Erysipelotrichia;;;;;
13;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;
13;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;
13;root;cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;;;;;
13;root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;;;;;
13;root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;;;;;
13;root;cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;;;;;
13;root;cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;;;;;
13;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;unclassified Gammaproteobacteria;;;;;
13;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;;;;;
13;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
13;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
13;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
13;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
13;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
13;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
13;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
13;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
13;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;;;;;
13;root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;;;;;
13;root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;;;;;
13;root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;;;;;
13;root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;;;;;
13;root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;;;;;
12;root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;;;;;
12;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;unclassified Fungi;;;;;
12;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Microsporidia;;;;;
12;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Microsporidia;;;;;
12;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Microsporidia;;;;;
12;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
12;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
12;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
12;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
12;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
12;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
12;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
12;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
12;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
12;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
12;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
12;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
12;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
12;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Hypoxylon sp. CI-4A;;;;
12;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Pseudomassariella vexata;;;;
12;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Chaetomium globosum;Chaetomium globosum CBS 148.51;;;
12;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Magnaporthiopsis poae;Magnaporthiopsis poae ATCC 64411;;;
12;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Scedosporium apiospermum;;;;
12;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ophiocordyceps sinensis;;;;
12;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Colletotrichum higginsianum;;;;
12;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
12;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Macrophomina phaseolina;Macrophomina phaseolina MS6;;;
12;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
12;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
12;root;cellular organisms;Eukaryota;Malawimonadidae;Malawimonas;Malawimonas sp. strain 249;;;;;
12;root;cellular organisms;Eukaryota;Euglenozoa;Kinetoplastida;Trypanosomatidae;;;;;
12;root;cellular organisms;Bacteria;unclassified Bacteria;Bacteria candidate phyla;Candidatus Saccharibacteria;;;;;
12;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;
12;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;
12;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;
12;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;
12;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;
12;root;cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;;;;;
12;root;cellular organisms;Bacteria;Terrabacteria group;Chloroflexi;unclassified Chloroflexi;;;;;
12;root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;;;;;
12;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;unclassified Gammaproteobacteria;;;;;
12;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
12;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
12;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
12;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
12;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
12;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
12;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
12;root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;;;;;
12;root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;;;;;
11;root;cellular organisms;Eukaryota;Stramenopiles;Oomycetes;Peronosporales;;;;;
11;root;cellular organisms;Eukaryota;Stramenopiles;Oomycetes;Peronosporales;;;;;
11;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Mucoromycota;;;;;
11;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
11;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
11;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
11;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
11;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
11;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
11;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
11;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
11;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
11;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
11;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
11;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
11;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
11;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
11;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Microdochium bolleyi;;;;
11;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Chaetomium thermophilum;Chaetomium thermophilum var. thermophilum;Chaetomium thermophilum var. thermophilum DSM 1495;;
11;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Ceratocystis platani;;;;
11;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
11;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
11;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Bipolaris;Bipolaris victoriae;Bipolaris victoriae FI3;;
11;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Clohesyomyces aquaticus;;;;
11;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
11;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Chytridiomycota;;;;;
11;root;cellular organisms;Eukaryota;Amoebozoa;Archamoebae;Entamoebidae;;;;;
11;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Conoidasida;;;;;
11;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Aconoidasida;;;;;
11;root;cellular organisms;Bacteria;unclassified Bacteria;unclassified Bacteria (miscellaneous);magneto-ovoid bacterium MO-1;;;;;
11;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;
11;root;cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;;;;;
11;root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;;;;;
11;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;;;;;
11;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;;;;;
11;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;;;;;
11;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
11;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
11;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
11;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
11;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
11;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
11;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
11;root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;;;;;
11;root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;;;;;
11;root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;;;;;
11;root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;unclassified Bacteroidetes/Chlorobi group;;;;;
11;root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;;;;;
11;root;cellular organisms;Bacteria;FCB group;Bacteroidetes/Chlorobi group;Bacteroidetes;;;;;
10;root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Chlorophyceae;;;;;
10;root;cellular organisms;Eukaryota;Stramenopiles;Blastocystis;Blastocystis sp. subtypes;;;;;
10;root;cellular organisms;Eukaryota;Rhizaria;Sticholonchida;Sticholonchidae;;;;;
10;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Microsporidia;;;;;
10;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Microsporidia;;;;;
10;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
10;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
10;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
10;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
10;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
10;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
10;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
10;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Daldinia sp. EC12;;;;
10;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Fusarium sambucinum species complex;Fusarium poae;;;
10;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Fusarium fujikuroi species complex;Fusarium fujikuroi;Fusarium fujikuroi IMI 58289;;
10;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Neofusicoccum parvum;Neofusicoccum parvum UCRNP2;;;
10;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;
10;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Aspergillus glaucus CBS 516.65;;;;
10;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Rhinocladiella mackenziei CBS 650.93;;;;
10;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;Exophiala aquamarina CBS 119918;;;;
10;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Chytridiomycota;;;;;
10;root;cellular organisms;Eukaryota;Opisthokonta;Choanoflagellida;;;;;;
10;root;cellular organisms;Eukaryota;Euglenozoa;Kinetoplastida;unclassified Kinetoplastida;;;;;
10;root;cellular organisms;Eukaryota;Apusozoa;Apusomonadidae;;;;;;
10;root;cellular organisms;Eukaryota;Amoebozoa;Mycetozoa;Myxogastria;;;;;
10;root;cellular organisms;Eukaryota;Amoebozoa;;;;;;;
10;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Conoidasida;;;;;
10;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Aconoidasida;;;;;
10;root;cellular organisms;Bacteria;unclassified Bacteria;Bacteria candidate phyla;Candidatus Dependentiae;;;;;
10;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Negativicutes;;;;;
10;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;
10;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;
10;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;
10;root;cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;;;;;
10;root;cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;;;;;
10;root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;;;;;
10;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;;;;;
10;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
10;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
10;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
10;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
10;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
10;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
10;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
10;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
10;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
10;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
10;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
10;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
10;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
10;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;
10;root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;;;;;
10;root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;;;;;
10;root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;;;;;
