No. Reads;root;organism;Domain;Group;Phylum;Class;;;;;;;;;;;;;;;
28;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Phlebiopsis gigantea;Phlebiopsis gigantea 11061_1 CR5-6;;;;;;
28;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Kazachstania saulgeensis;;;;;;;
28;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Xylariales;Microdochiaceae;Microdochium;Microdochium bolleyi;;;;
28;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;;;;;;;;
28;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Dactylellina haptotyla;Dactylellina haptotyla CBS 200.50;;;;;;
28;root;cellular organisms;Eukaryota;Euglenozoa;Kinetoplastida;Trypanosomatidae;;;;;;;;;;;;;;;
28;root;cellular organisms;Eukaryota;Euglenozoa;Kinetoplastida;Trypanosomatidae;;;;;;;;;;;;;;;
28;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Conoidasida;;;;;;;;;;;;;;;
28;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;;;;;;;;;;;
28;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
28;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
28;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;;;;;;;;;;;;;;;
28;root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;;;;;;;;;;;;;;;
28;root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;;;;;;;;;;;;;;;
28;root;Viruses;dsDNA viruses, no RNA stage;Adenoviridae;Aviadenovirus;Turkey aviadenovirus D;;;;;;;;;;;;;;;
28;root;Viruses;Retro-transcribing viruses;Retroviridae;unclassified Retroviridae;Melomys burtoni retrovirus;;;;;;;;;;;;;;;
28;root;Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Gammaretrovirus;;;;;;;;;;;;;;;
27;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;;;;;;;;
27;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Tremella mesenterica DSM 1558;;;;;;;
27;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Scleroderma;Scleroderma citrinum;Scleroderma citrinum Foug A;;;;;
27;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Magnaporthales;Magnaporthaceae;Magnaporthiopsis;Magnaporthiopsis poae;Magnaporthiopsis poae ATCC 64411;;;
27;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Pleosporales;Pleosporineae;Pleosporaceae;Bipolaris;Bipolaris oryzae;Bipolaris oryzae ATCC 44560;;
27;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Pleosporales;Pleosporineae;Cucurbitariaceae;Pyrenochaeta;Pyrenochaeta sp. DS3sAY3a;;;
27;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Xylona;Xylona heveae;Xylona heveae TC161;;;;;
27;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Aspergillaceae;Penicillium;Penicillium subrubescens;;;;;
27;root;cellular organisms;Eukaryota;Euglenozoa;Kinetoplastida;Trypanosomatidae;;;;;;;;;;;;;;;
27;root;cellular organisms;Eukaryota;Cryptophyta;Pyrenomonadales;Geminigeraceae;;;;;;;;;;;;;;;
27;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Aconoidasida;;;;;;;;;;;;;;;
27;root;cellular organisms;Bacteria;unclassified Bacteria;Bacteria candidate phyla;Candidatus Saccharibacteria;;;;;;;;;;;;;;;
27;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;;;;;;;;;;;
27;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;;;;;;;;;;;
27;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;;;;;;;;;;;;;;;
27;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
27;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
27;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
27;root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;;;;;;;;;;;;;;;
27;root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;;;;;;;;;;;;;;;
27;root;Viruses;dsDNA viruses, no RNA stage;Polydnaviridae;Bracovirus;unclassified Bracovirus;;;;;;;;;;;;;;;
26;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Mucoromycota;;;;;;;;;;;;;;;
26;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Microsporidia;;;;;;;;;;;;;;;
26;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Microascales;Ceratocystidaceae;Ceratocystis;Ceratocystis platani;;;;
26;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Hypocreales;Hypocreaceae;Trichoderma;;;;;
26;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Aspergillaceae;Penicillium;;;;;;
26;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Aspergillaceae;Aspergillus;Aspergillus wentii;Aspergillus wentii DTO 134E9;;;;
26;root;cellular organisms;Eukaryota;Euglenozoa;Kinetoplastida;Trypanosomatidae;;;;;;;;;;;;;;;
26;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Aconoidasida;;;;;;;;;;;;;;;
26;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;;;;;;;;;;;
26;root;cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;;;;;;;;;;;;;;;
26;root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;;;;;;;;;;;;;;;
26;root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;;;;;;;;;;;;;;;
26;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;;;;;;;;;;;;;;;
26;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;;;;;;;;;;;;;;;
26;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Orbales;;;;;;;;;;;;;;;
26;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
26;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
26;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
26;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
26;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
26;root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;;;;;;;;;;;;;;;
26;root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;;;;;;;;;;;;;;;
26;root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;;;;;;;;;;;;;;;
26;root;Viruses;Retro-transcribing viruses;Retroviridae;unclassified Retroviridae;Human endogenous retroviruses;;;;;;;;;;;;;;;
26;root;Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Alpharetrovirus;;;;;;;;;;;;;;;
25;root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Chlorophyceae;;;;;;;;;;;;;;;
25;root;cellular organisms;Eukaryota;Stramenopiles;;;;;;;;;;;;;;;;;
25;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Microsporidia;;;;;;;;;;;;;;;
25;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;;;;;;;;
25;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Fistulina hepatica;Fistulina hepatica ATCC 64428;;;;;;
25;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;;;;;;;;
25;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Lodderomyces;Lodderomyces elongisporus;Lodderomyces elongisporus NRRL YB-4239;;;;;
25;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Tuber melanosporum;;;;;;;
25;root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;;;;;;;;;;;;;;;
25;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;;;;;;;;;;;;;;;
25;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
25;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
25;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
25;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
25;root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;;;;;;;;;;;;;;;
25;root;Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Gammaretrovirus;;;;;;;;;;;;;;;
25;root;Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Alpharetrovirus;;;;;;;;;;;;;;;
24;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Mucoromycota;;;;;;;;;;;;;;;
24;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Wallemia ichthyophaga EXF-994;;;;;;;
24;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Stereum hirsutum;Stereum hirsutum FP-91666 SS1;;;;;;
24;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Neolentinus lepideus;Neolentinus lepideus HHB14362 ss-1;;;;;;
24;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Metschnikowia bicuspidata;Metschnikowia bicuspidata var. bicuspidata;Metschnikowia bicuspidata var. bicuspidata NRRL YB-4993;;;;;
24;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Xylariales;Xylariaceae;Daldinia;Daldinia sp. EC12;;;;
24;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Hypocreales;Nectriaceae;Fusarium;Fusarium oxysporum species complex;Fusarium oxysporum;Fusarium oxysporum f. cubense;Fusarium oxysporum f. sp. cubense tropical race 4 54006;
24;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Helotiales incertae sedis;Phialocephala;Phialocephala fortinii species complex;Phialocephala subalpina;;;;
24;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Capnodiales;Mycosphaerellaceae;;;;;;
24;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Venturiales;Sympoventuriaceae;Verruconis;Verruconis gallopava;;;;
24;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Herpotrichiellaceae;;;;;;;
24;root;cellular organisms;Eukaryota;Euglenozoa;Kinetoplastida;Trypanosomatidae;;;;;;;;;;;;;;;
24;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;;;;;;;;;;;
24;root;cellular organisms;Bacteria;Spirochaetes;Spirochaetia;Leptospirales;;;;;;;;;;;;;;;
24;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;;;;;;;;;;;;;;;
24;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;;;;;;;;;;;;;;;
24;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
24;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
24;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
24;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
24;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
24;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
24;root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;;;;;;;;;;;;;;;
24;root;Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Lentivirus;;;;;;;;;;;;;;;
23;root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;;;;;;;;;;;;;;;
23;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;unclassified Fungi;;;;;;;;;;;;;;;
23;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Pleurotus ostreatus;Pleurotus ostreatus PC15;;;;;;
23;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Tetrapisispora phaffii;Tetrapisispora phaffii CBS 4417;;;;;;
23;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Tetrapisispora blattae;Tetrapisispora blattae CBS 6284;;;;;;
23;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Naumovozyma castellii;Naumovozyma castellii CBS 4309;;;;;;
23;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Pichia kudriavzevii;;;;;;;
23;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Hypocreales;Nectriaceae;Neonectria;Neonectria ditissima;;;;
23;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Pleosporales;Lindgomycetaceae;Clohesyomyces;Clohesyomyces aquaticus;;;;
23;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Trichocomaceae;Talaromyces;Talaromyces islandicus;;;;;
23;root;cellular organisms;Eukaryota;Euglenozoa;Kinetoplastida;Trypanosomatidae;;;;;;;;;;;;;;;
23;root;cellular organisms;Bacteria;Terrabacteria group;Deinococcus-Thermus;Deinococci;;;;;;;;;;;;;;;
23;root;cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;;;;;;;;;;;;;;;
23;root;cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Epsilonproteobacteria;;;;;;;;;;;;;;;
23;root;cellular organisms;Bacteria;Proteobacteria;delta/epsilon subdivisions;Deltaproteobacteria;;;;;;;;;;;;;;;
23;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
23;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
23;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
23;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
23;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
23;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
23;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
23;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
23;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
23;root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;;;;;;;;;;;;;;;
23;root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;;;;;;;;;;;;;;;
23;root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;;;;;;;;;;;;;;;
23;root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;;;;;;;;;;;;;;;
23;root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;;;;;;;;;;;;;;;
23;root;Viruses;dsDNA viruses, no RNA stage;Caudovirales;Podoviridae;unassigned Podoviridae;;;;;;;;;;;;;;;
23;root;Viruses;Retro-transcribing viruses;Retroviridae;unclassified Retroviridae;Human endogenous retroviruses;;;;;;;;;;;;;;;
22;root;cellular organisms;Eukaryota;Rhodophyta;Florideophyceae;;;;;;;;;;;;;;;;
22;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Microsporidia;;;;;;;;;;;;;;;
22;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Microsporidia;;;;;;;;;;;;;;;
22;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Paxillus;Paxillus involutus;Paxillus involutus ATCC 200175;;;;;
22;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Galerina marginata;Galerina marginata CBS 339.88;;;;;;
22;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Hebeloma cylindrosporum;Hebeloma cylindrosporum h7;;;;;;
22;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Fomitiporia mediterranea;Fomitiporia mediterranea MF3/22;;;;;;
22;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;;;;;;;;
22;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Babjeviella inositovora;Babjeviella inositovora NRRL Y-12698;;;;;;
22;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;;;;;;;;
22;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Sordariales;Chaetomiaceae;Thielavia;Thielavia terrestris;Thielavia terrestris NRRL 8126;;;
22;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Pseudeurotiaceae;Pseudogymnoascus;Pseudogymnoascus sp. VKM F-4518 (FW-2643);;;;;
22;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Pleosporales;Pleosporineae;Pleosporaceae;Bipolaris;Bipolaris victoriae;Bipolaris victoriae FI3;;
22;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Coniosporium;Coniosporium apollinis;Coniosporium apollinis CBS 100218;;;;;
22;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Herpotrichiellaceae;Phialophora;Phialophora attae;;;;;
22;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Herpotrichiellaceae;Exophiala;Exophiala xenobiotica;;;;;
22;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Herpotrichiellaceae;Cladophialophora;Cladophialophora immunda;;;;;
22;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Schizosaccharomyces octosporus yFS286;;;;;;;
22;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Conoidasida;;;;;;;;;;;;;;;
22;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Aconoidasida;;;;;;;;;;;;;;;
22;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Clostridia;;;;;;;;;;;;;;;
22;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;;;;;;;;;;;
22;root;cellular organisms;Bacteria;Terrabacteria group;Firmicutes;Bacilli;;;;;;;;;;;;;;;
22;root;cellular organisms;Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group;Cyanobacteria;;;;;;;;;;;;;;;
22;root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;;;;;;;;;;;;;;;
22;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;;;;;;;;;;;;;;;
22;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;;;;;;;;;;;;;;;
22;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;;;;;;;;;;;;;;;
22;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
22;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
22;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
22;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
22;root;cellular organisms;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;;;;;;;;;;;;;;;
22;root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;;;;;;;;;;;;;;;
22;root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;;;;;;;;;;;;;;;
21;root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;;;;;;;;;;;;;;;
21;root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;prasinophytes;;;;;;;;;;;;;;;
21;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Mucoromycota;;;;;;;;;;;;;;;
21;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Mucoromycota;;;;;;;;;;;;;;;
21;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Grifola frondosa;;;;;;;
21;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Postia placenta;Postia placenta MAD-698-R-SB12;;;;;;
21;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;;;;;;;;
21;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Wickerhamomyces ciferrii;;;;;;;
21;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;;;;;;;;
21;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Cyberlindnera jadinii;;;;;;;
21;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Ophiostomatales;Ophiostomataceae;Ophiostoma;Ophiostoma piceae;Ophiostoma piceae UAMH 11346;;;
21;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Ophiostomatales;Ophiostomataceae;Grosmannia;Grosmannia clavigera;Grosmannia clavigera kw1407;;;
21;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Hypocreales;Ophiocordycipitaceae;Ophiocordyceps;Ophiocordyceps unilateralis;;;;
21;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Dothideales;mitosporic Dothideales;Hortaea;Hortaea werneckii;Hortaea werneckii EXF-2000;;;
21;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Dothideales;Aureobasidiaceae;Aureobasidium;;;;;
21;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Botryosphaeriales;Botryosphaeriaceae;Macrophomina;Macrophomina phaseolina;Macrophomina phaseolina MS6;;;
21;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Ajellomycetaceae;Blastomyces;Blastomyces dermatitidis;Blastomyces dermatitidis ATCC 18188;;;;
21;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;;;;;;;;
21;root;cellular organisms;Eukaryota;Fornicata;Diplomonadida;Hexamitidae;;;;;;;;;;;;;;;
21;root;cellular organisms;Eukaryota;Alveolata;Apicomplexa;Conoidasida;;;;;;;;;;;;;;;
21;root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;;;;;;;;;;;;;;;
21;root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;;;;;;;;;;;;;;;
21;root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;;;;;;;;;;;;;;;
21;root;cellular organisms;Bacteria;Terrabacteria group;Actinobacteria;Actinobacteria;;;;;;;;;;;;;;;
21;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;;;;;;;;;;;;;;;
21;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Vibrionales;;;;;;;;;;;;;;;
21;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;;;;;;;;;;;;;;;
21;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;;;;;;;;;;;;;;;
21;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Nevskiales;;;;;;;;;;;;;;;
21;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
21;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
21;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
21;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
21;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
21;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
21;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
21;root;cellular organisms;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;;;;;;;;;;;;;;;
21;root;cellular organisms;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;;;;;;;;;;;;;;;
21;root;Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Gammaretrovirus;;;;;;;;;;;;;;;
21;root;Viruses;Retro-transcribing viruses;Retroviridae;Orthoretrovirinae;Alpharetrovirus;;;;;;;;;;;;;;;
20;root;cellular organisms;Eukaryota;Viridiplantae;Chlorophyta;Trebouxiophyceae;;;;;;;;;;;;;;;
20;root;cellular organisms;Eukaryota;Stramenopiles;Bacillariophyta;Bacillariophyceae;;;;;;;;;;;;;;;
20;root;cellular organisms;Eukaryota;Opisthokonta;Fungi;Dikarya;;;;;;;;Kluyveromyces dobzhanskii;Kluyveromyces dobzhanskii CBS 2104;;;;;;
